,Name,Network,Announced,Status,dimensions,wight,build,sim,displaytype,displaysize,displayresolution,O_S,chipset,CPU,cardslot,internal,quad,features,video_main,single,video_selfie,Loudspeaker,wlan,bluetooth,nfc,radio,usb,sensors,battery_type,price
112,Samsung Galaxy J6+,GSM / HSPA / LTE,"2018, September","Available. Released 2018, October",161.4 x 76.9 x 7.9 mm (6.35 x 3.03 x 0.31 in),178 g (6.28 oz),"Glass front, plastic back, plastic frame","Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)",IPS LCD ,"6.0 inches, 91.4 cm2 (~73.6% screen-to-body ratio)","720 x 1480 pixels, 18.5:9 ratio (~274 ppi density)","Android 8.1 (Oreo), upgradable to Android 9.0 (Pie), One UI",Qualcomm MSM8917 Snapdragon 425 (28 nm),Quad-core 1.4 GHz Cortex-A53,microSDXC (dedicated slot),"32GB 3GB RAM, 64GB 4GB RAM","13 MP, f/1.9, 28mm (wide), AF
5 MP, f/1.9, (depth)","LED flash, panorama, HDR",1080p@30fps,"8 MP, f/1.9",1080p@30fps,161.4 x 76.9 x 7.9 mm (6.35 x 3.03 x 0.31 in),"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",161.4 x 76.9 x 7.9 mm (6.35 x 3.03 x 0.31 in),Yes (market dependent),"Stereo FM radio, recording","microUSB 2.0, USB On-The-Go","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass","Li-Ion 3300 mAh, non-removable",€ 195.00
113,Samsung Galaxy J4 Core,GSM / HSPA / LTE,"2018, November","Available. Released 2018, November",160.6 x 76.1 x 7.9 mm (6.32 x 3.00 x 0.31 in),177 g (6.24 oz),Not Found,"Dual SIM (Nano-SIM, dual stand-by)",IPS LCD ,"6.0 inches, 91.4 cm2 (~74.8% screen-to-body ratio)","720 x 1480 pixels, 18.5:9 ratio (~274 ppi density)",Android 8.1 Oreo (Go edition),Qualcomm MSM8917 Snapdragon 425 (28 nm),Quad-core 1.4 GHz Cortex-A53,microSDXC (dedicated slot),16GB 1GB RAM,"8 MP, f/2.2, AF","LED flash, panorama, HDR",1080p@30fps,"5 MP, f/2.2",,160.6 x 76.1 x 7.9 mm (6.32 x 3.00 x 0.31 in),"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",160.6 x 76.1 x 7.9 mm (6.32 x 3.00 x 0.31 in),No,"Stereo FM radio, recording","microUSB 2.0, USB On-The-Go","Accelerometer, proximity","Li-Ion 3300 mAh, non-removable",About 150 EUR
114,Samsung Galaxy J4+,GSM / HSPA / LTE,"2018, September","Available. Released 2018, October",161.4 x 76.9 x 7.9 mm (6.35 x 3.03 x 0.31 in),178 g (6.28 oz),"Glass front, plastic back, plastic frame","Dual SIM (Nano-SIM, dual stand-by)",IPS LCD ,"6.0 inches, 91.4 cm2 (~73.6% screen-to-body ratio)","720 x 1480 pixels, 18.5:9 ratio (~274 ppi density)",Android 8.1 (Oreo),Qualcomm MSM8917 Snapdragon 425 (28 nm),Quad-core 1.4 GHz Cortex-A53,microSDXC (dedicated slot),"16GB 2GB RAM, 32GB 2GB RAM, 32GB 3GB RAM","13 MP, f/1.9, 28mm (wide), AF","LED flash, panorama, HDR",1080p@30fps,"5 MP, f/2.2",,161.4 x 76.9 x 7.9 mm (6.35 x 3.03 x 0.31 in),"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",161.4 x 76.9 x 7.9 mm (6.35 x 3.03 x 0.31 in),Yes (market dependent),"Stereo FM radio, recording","microUSB 2.0, USB On-The-Go","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass - North AmericaAccelerometer, proximity - other markets","Li-Ion 3300 mAh, non-removable",About 220 EUR
115,Samsung Galaxy J2 Core,GSM / HSPA / LTE,"2018, August","Available. Released 2018, August",143.4 x 72.1 x 8.9 mm (5.65 x 2.84 x 0.35 in),154 g (5.43 oz),"Glass front (Gorilla Glass), plastic back, plastic frame","Dual SIM (Micro-SIM, dual stand-by)",PLS IPS ,"5.0 inches, 68.9 cm2 (~66.7% screen-to-body ratio)","540 x 960 pixels, 16:9 ratio (~220 ppi density)",Android 8.1 Oreo (Go edition),Exynos 7570 Quad (14 nm),Quad-core 1.4 GHz Cortex-A53,microSDXC (dedicated slot),"8GB 1GB RAM, 16GB 1GB RAM","8 MP, f/2.2, AF","LED flash, HDR, panorama",1080p@30fps,"5 MP, f/2.2",,143.4 x 72.1 x 8.9 mm (5.65 x 2.84 x 0.35 in),"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",143.4 x 72.1 x 8.9 mm (5.65 x 2.84 x 0.35 in),No,FM radio,"microUSB 2.0, USB On-The-Go","Accelerometer, proximity","Li-Ion 2600 mAh, removable",About 120 EUR
116,Samsung Galaxy On6,GSM / HSPA / LTE,"2018, July","Available. Released 2018, July",149.3 x 70.2 x 8.2 mm (5.88 x 2.76 x 0.32 in),154 g (5.43 oz),"Glass front, plastic back, plastic frame","Dual SIM (Nano-SIM, dual stand-by)",Super AMOLED ,"5.6 inches, 79.6 cm2 (~75.9% screen-to-body ratio)","720 x 1480 pixels, 18.5:9 ratio (~294 ppi density)",Android 8.0 (Oreo),Exynos 7870 Octa (14 nm),Octa-core 1.6 GHz Cortex-A53,microSDXC (dedicated slot),"32GB 3GB RAM, 64GB 4GB RAM","13 MP, f/1.9, 28mm (wide), AF","LED flash, panorama, HDR",1080p@30fps,"8 MP, f/1.9",,149.3 x 70.2 x 8.2 mm (5.88 x 2.76 x 0.32 in),"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",149.3 x 70.2 x 8.2 mm (5.88 x 2.76 x 0.32 in),No,FM radio,microUSB 2.0,"Fingerprint (rear-mounted), accelerometer, proximity","Li-Ion 3000 mAh, non-removable",About 100 EUR
117,Samsung Galaxy J7 (2018),GSM / HSPA / LTE,"2018, June","Available. Released 2018, July",153.2 x 76.2 x 8.6 mm (6.03 x 3.00 x 0.34 in),181 g (6.38 oz),"Glass front (Gorilla Glass 5), plastic back, plastic frame",Nano-SIM,TFT ,"5.5 inches, 83.4 cm2 (~71.4% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~267 ppi density)","Android 8.0 (Oreo), upgradable to Android 9.0 (Pie), One UI",Exynos 7870 Octa (14 nm),Octa-core 1.6 GHz Cortex-A53,microSDXC (dedicated slot),"16GB 2GB RAM, 32GB 2GB RAM","8 MP, AF or 13 MP, f/1.7, AF (operator dependent)","LED flash, HDR, panorama",1080p@30fps,"5 MP / 13 MP, f/1.7 (operator dependent)",,153.2 x 76.2 x 8.6 mm (6.03 x 3.00 x 0.34 in),"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot",153.2 x 76.2 x 8.6 mm (6.03 x 3.00 x 0.34 in),Yes (operator dependent),FM radio (SM-J737T1 only),"microUSB 2.0, USB On-The-Go","Accelerometer, gyro, proximity, compass","Li-Ion 3300 mAh, non-removable",About 200 EUR
118,Samsung Galaxy J3 (2018),GSM / HSPA / LTE,"2018, June","Available. Released 2018, June",142.7 x 70.1 x 8.9 mm (5.62 x 2.76 x 0.35 in),152 g (5.36 oz),"Glass front, plastic back, plastic frame",Nano-SIM,IPS LCD ,"5.0 inches, 68.9 cm2 (~68.9% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Android 8.0 (Oreo),Exynos 7570 Quad (14 nm),Quad-core 1.4 GHz Cortex-A53,microSDXC (dedicated slot),16GB 2GB RAM,"8 MP, f/1.9, AF","LED flash, panorama, HDR",1080p@30fps,"5 MP, f/2.2",,142.7 x 70.1 x 8.9 mm (5.62 x 2.76 x 0.35 in),"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",142.7 x 70.1 x 8.9 mm (5.62 x 2.76 x 0.35 in),No,FM radio,microUSB 2.0,"Accelerometer, gyro, proximity, compass","Li-Ion 2600 mAh, removable",About 150 EUR
119,Samsung Galaxy A8 Star (A9 Star),GSM / CDMA / HSPA / LTE,"2018, June","Available. Released 2018, June",162.4 x 77 x 7.6 mm (6.39 x 3.03 x 0.30 in),191 g (6.74 oz),"Glass front (Gorilla Glass 5), glass back (Gorilla Glass 5), aluminum frame","Hybrid Dual SIM (Nano-SIM, dual stand-by)",Super AMOLED ,"6.3 inches, 100.7 cm2 (~80.6% screen-to-body ratio)","1080 x 2220 pixels, 18.5:9 ratio (~392 ppi density)","Android 8.0 (Oreo), upgradable to Android 9.0 (Pie), One UI",Qualcomm SDM660 Snapdragon 660 (14 nm),Octa-core (4x2.2 GHz Kryo 260 Gold & 4x1.8 GHz Kryo 260 Silver),microSDXC (uses shared SIM slot),"64GB 4GB RAM, 64GB 6GB RAM","24 MP, f/1.7, 27mm (wide), 1/2.8"", 0.9µm, PDAF
16 MP, f/1.7, PDAF","LED flash, panorama, HDR","4K@30fps, 1080p@30fps","24 MP, f/2.0, 26mm (wide), 1/2.8"", 0.9µm",1080p@30fps,162.4 x 77 x 7.6 mm (6.39 x 3.03 x 0.30 in),"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot",162.4 x 77 x 7.6 mm (6.39 x 3.03 x 0.30 in),Yes,FM radio,USB Type-C 2.0,"Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass","Li-Ion 3700 mAh, non-removable",About 350 EUR
120,Samsung Galaxy S Light Luxury,GSM / CDMA / HSPA / LTE,"2018, May","Available. Released 2018, May",148.9 x 68.1 x 8 mm (5.86 x 2.68 x 0.31 in),150 g (5.29 oz),"Glass front (Gorilla Glass 5), glass back (Gorilla Glass 5), aluminum frame","Hybrid Dual SIM (Nano-SIM, dual stand-by)",Super AMOLED ,"5.8 inches, 85.4 cm2 (~84.2% screen-to-body ratio)","1080 x 2220 pixels, 18.5:9 ratio (~426 ppi density)",Android 8.0 (Oreo),Qualcomm SDM660 Snapdragon 660 (14 nm),Octa-core (4x2.2 GHz Kryo 260 Gold & 4x1.8 GHz Kryo 260 Silver),microSDXC (uses shared SIM slot),64GB 4GB RAM,"16 MP, f/1.7, 1.12µm, PDAF","LED flash, HDR, panorama",4K@30fps,"8 MP, f/1.7, 25mm (wide), 1/3.6"", 1.22µm, AF
2 MP (dedicated iris scanner camera)",1080p@30fps,148.9 x 68.1 x 8 mm (5.86 x 2.68 x 0.31 in),"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot",148.9 x 68.1 x 8 mm (5.86 x 2.68 x 0.31 in),Yes,FM radio,USB Type-C 2.0,"Iris scanner, fingerprint (rear-mounted), accelerometer, gyro, proximity, compass, barometer","Li-Ion 3000 mAh, non-removable (11.55 Wh)",About 400 EUR
121,Samsung Galaxy J8,GSM / HSPA / LTE,"2018, May","Available. Released 2018, July",159.2 x 75.7 x 8.2 mm (6.27 x 2.98 x 0.32 in),177 g (6.24 oz),"Glass front, plastic back, plastic frame","Dual SIM (Nano-SIM, dual stand-by)",Super AMOLED ,"6.0 inches, 91.4 cm2 (~75.8% screen-to-body ratio)","720 x 1480 pixels, 18.5:9 ratio (~274 ppi density)","Android 8.0 (Oreo), upgradable to Android 9.0 (Pie)",Qualcomm SDM450 Snapdragon 450 (14 nm),Octa-core 1.8 GHz Cortex-A53,microSDXC (dedicated slot),"32GB 3GB RAM, 64GB 4GB RAM","16 MP, f/1.7, AF
5 MP, f/1.9, (depth)","LED flash, panorama, HDR",1080p@30fps,"16 MP, f/1.9, 26mm (wide), 1/3.06"", 1.0µm",1080p@30fps,159.2 x 75.7 x 8.2 mm (6.27 x 2.98 x 0.32 in),"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",159.2 x 75.7 x 8.2 mm (6.27 x 2.98 x 0.32 in),No,"FM radio, recording","microUSB 2.0, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, proximity","Li-Ion 3500 mAh, non-removable",$ 319.90 / € 305.25
122,Samsung Galaxy J6,GSM / HSPA / LTE,"2018, May","Available. Released 2018, May",149.3 x 70.2 x 8.2 mm (5.88 x 2.76 x 0.32 in),154 g (5.43 oz),"Glass front (Gorilla Glass), plastic back, plastic frame","Dual SIM (Nano-SIM, dual stand-by)",Super AMOLED ,"5.6 inches, 80.1 cm2 (~76.5% screen-to-body ratio)","720 x 1480 pixels, 18.5:9 ratio (~293 ppi density)","Android 8.0 (Oreo), upgradable to Android 10, One UI 2.0",Exynos 7870 Octa (14 nm),Octa-core 1.6 GHz Cortex-A53,microSDXC (dedicated slot),"32GB 3GB RAM, 64GB 4GB RAM","13 MP, f/1.9, 28mm (wide), AF","LED flash, panorama, HDR",1080p@30fps,"8 MP, f/1.9",1080p@30fps,149.3 x 70.2 x 8.2 mm (5.88 x 2.76 x 0.32 in),"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",149.3 x 70.2 x 8.2 mm (5.88 x 2.76 x 0.32 in),No,"Stereo FM radio, recording","microUSB 2.0, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, proximity","Li-Ion 3000 mAh, non-removable",£ 169.99
123,Samsung Galaxy J4,GSM / HSPA / LTE,"2018, May","Available. Released 2018, May",151.7 x 77.2 x 8.1 mm (5.97 x 3.04 x 0.32 in),175 g (6.17 oz),"Glass front, plastic back, plastic frame","Dual SIM (Micro-SIM, dual stand-by)",Super AMOLED ,"5.5 inches, 83.4 cm2 (~71.2% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~267 ppi density)",Android 8.0 (Oreo),Exynos 7570 Quad (14 nm),Quad-core 1.4 GHz Cortex-A53,microSDXC (dedicated slot),"16GB 2GB RAM, 32GB 2GB RAM, 32GB 3GB RAM","13 MP, f/1.9, 28mm (wide), AF","LED flash, panorama, HDR",1080p@30fps,"5 MP, f/2.2",,151.7 x 77.2 x 8.1 mm (5.97 x 3.04 x 0.32 in),"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",151.7 x 77.2 x 8.1 mm (5.97 x 3.04 x 0.32 in),No,FM radio,microUSB 2.0,"Accelerometer, proximity","Li-Ion 3000 mAh, removable",About 140 EUR
